,id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,LPN10P_lowest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period,MPN10P_prediction,HPN10P_prediction,LPN10P_prediction,HPN1P_prediction,LPN1P_prediction
0,10,,14-01-2000,1449.68,1473,1449.68,1465.15,1465,1085900000,1413.49,1465.71,1350.14,1465.15,1451.3,1431.4576,1454.8381,1420.0328,1448.135,1434.7473
1,11,,18-01-2000,1465.15,1465.15,1451.3,1455.14,1455,1056700000,1408.02,1465.71,1350.14,1461.39,1448.68,1425.0735,1445.9037,1406.3046,1446.0706,1439.2065
2,12,,19-01-2000,1455.14,1461.39,1448.68,1455.9,1456,1087800000,1405.42,1465.71,1350.14,1465.71,1438.54,1417.0182,1439.6493,1401.6056,1440.0297,1441.2456
3,13,,20-01-2000,1455.9,1465.71,1438.54,1445.57,1446,1100700000,1404.09,1454.09,1350.14,1453.18,1439.6,1405.5704,1430.3762,1385.7032,1431.5757,1440.5408
4,14,,21-01-2000,1445.57,1453.18,1439.6,1441.36,1441,1209800000,1404.09,1454.09,1350.14,1454.09,1395.42,1391.917,1419.649,1372.399,1420.9858,1437.052
5,15,,24-01-2000,1441.36,1454.09,1395.42,1401.53,1402,1115800000,1407.94,1435.91,1350.14,1414.26,1388.49,1377.4663,1407.9128,1354.4357,1408.6885,1431.0071
6,16,,25-01-2000,1401.53,1414.26,1388.49,1410.03,1410,1073700000,1409.28,1441.83,1350.14,1412.73,1400.16,1372.2637,1406.5071,1363.8608,1399.2998,1423.5039
7,17,,26-01-2000,1410.03,1412.73,1400.16,1404.09,1404,1117300000,1411.68,1444.55,1350.14,1418.86,1370.99,1369.5801,1403.0265,1354.4822,1393.3878,1415.2948
8,18,,27-01-2000,1404.09,1418.86,1370.99,1398.56,1399,1129500000,1412.91,1444.55,1350.14,1398.56,1356.2,1365.6714,1399.0662,1346.5201,1388.856,1406.8846
9,19,,28-01-2000,1398.56,1398.56,1356.2,1360.16,1360,1095800000,1414.43,1444.55,1350.14,1394.48,1350.14,1367.0187,1400.878,1355.4204,1386.9857,1399.434
10,20,,31-01-2000,1360.16,1394.48,1350.14,1394.46,1394,993800000,1414.43,1444.55,1378.89,1412.49,1384.79,1381.6692,1416.8005,1384.0385,1392.9858,1394.5225
11,21,,01-02-2000,1394.46,1412.49,1384.79,1409.28,1409,981000000,1414.43,1444.55,1376.25,1420.61,1403.49,1394.5391,1422.7893,1385.6703,1402.8292,1392.5078
12,22,,02-02-2000,1409.28,1420.61,1403.49,1409.12,1409,1038600000,1413.8,1444.55,1376.25,1425.78,1398.52,1399.6461,1422.6931,1384.9435,1409.9565,1393.067
13,23,,03-02-2000,1409.12,1425.78,1398.52,1424.97,1425,1146500000,1411.67,1444.55,1376.25,1435.91,1420.63,1403.1122,1424.8342,1390.87,1414.4825,1395.8137
14,24,,04-02-2000,1424.97,1435.91,1420.63,1424.37,1424,1045100000,1402.05,1444.55,1345.32,1427.15,1413.33,1403.5438,1424.5713,1390.0366,1417.3431,1400.2142
15,25,,07-02-2000,1424.37,1427.15,1413.33,1424.24,1424,918100000,1394.46,1444.55,1331.88,1441.83,1424.24,1399.0442,1420.637,1383.6207,1417.2958,1404.9131
16,26,,08-02-2000,1424.24,1441.83,1424.24,1441.72,1442,1047700000,1388.42,1444.55,1331.88,1444.55,1411.65,1394.2526,1417.7974,1382.0409,1415.3534,1408.6724
17,27,,09-02-2000,1441.72,1444.55,1411.65,1411.71,1412,1050500000,1387.4,1422.1,1329.88,1422.1,1406.43,1382.9083,1406.5287,1360.4786,1408.9155,1410.5867
18,28,,10-02-2000,1411.7,1422.1,1406.43,1416.83,1417,1058800000,1379.48,1416.83,1329.15,1416.83,1378.89,1373.9142,1401.8221,1362.9501,1400.8059,1410.4125
19,29,,11-02-2000,1416.83,1416.83,1378.89,1387.12,1387,1025700000,1363.47,1407.72,1325.07,1394.93,1380.53,1365.9065,1395.3041,1350.3813,1392.7933,1408.0753
20,30,,14-02-2000,1387.12,1394.93,1380.53,1389.94,1390,927300000,1360.69,1407.72,1325.07,1407.72,1376.25,1363.498,1395.7646,1357.1671,1387.4296,1404.2568
21,31,,15-02-2000,1389.94,1407.72,1376.25,1402.05,1402,1092100000,1360.69,1404.55,1325.07,1404.55,1385.58,1361.0219,1392.1447,1346.8136,1383.4202,1399.1976
22,32,,16-02-2000,1402.05,1404.55,1385.58,1387.67,1388,1018800000,1360.69,1399.88,1325.07,1399.88,1380.07,1351.9354,1380.9691,1329.3042,1376.6233,1393.2424
23,33,,17-02-2000,1387.67,1399.88,1380.07,1388.26,1388,1034800000,1360.69,1410.88,1325.07,1388.59,1345.32,1340.3699,1370.6843,1318.9388,1366.857,1386.3179
24,34,,18-02-2000,1388.26,1388.59,1345.32,1346.09,1346,1042300000,1361.48,1410.88,1325.07,1358.11,1331.88,1327.7844,1359.3971,1304.9048,1355.7222,1378.3099
25,35,,22-02-2000,1346.09,1358.11,1331.88,1352.17,1352,980000000,1366.42,1410.88,1325.07,1370.11,1342.44,1325.7872,1361.9716,1320.1632,1349.2208,1370.2491
26,36,,23-02-2000,1352.17,1370.11,1342.44,1360.69,1361,993700000,1366.42,1410.88,1325.07,1364.8,1329.88,1328.7656,1363.1542,1318.9923,1347.8569,1362.6134
27,37,,24-02-2000,1360.69,1364.8,1329.88,1353.43,1353,1215000000,1369.99,1410.88,1325.07,1362.14,1329.15,1328.6268,1358.9006,1312.4287,1346.9684,1355.6149
28,38,,25-02-2000,1353.43,1362.14,1329.15,1333.36,1333,1065200000,1379.19,1413.46,1325.07,1360.82,1325.07,1332.802,1362.7622,1325.4862,1347.9689,1350.5082
29,39,,28-02-2000,1333.36,1360.82,1325.07,1348.05,1348,1026500000,1381.76,1413.46,1346.62,1369.63,1348.05,1344.7146,1373.1937,1343.8461,1353.7507,1347.8042
