,id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,LPN10P_lowest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period,MPN10P_prediction
0,10,,14-01-2000,1449.68,1473.00,1449.68,1465.15,1465,1085900000,1413.49,1465.71,1350.14,1465.15,1451.30,1386.9281
1,11,,18-01-2000,1465.15,1465.15,1451.30,1455.14,1455,1056700000,1408.02,1465.71,1350.14,1461.39,1448.68,1392.7542
2,12,,19-01-2000,1455.14,1461.39,1448.68,1455.90,1456,1087800000,1405.42,1465.71,1350.14,1465.71,1438.54,1398.0538
3,13,,20-01-2000,1455.90,1465.71,1438.54,1445.57,1446,1100700000,1404.09,1454.09,1350.14,1453.18,1439.60,1402.7517
4,14,,21-01-2000,1445.57,1453.18,1439.60,1441.36,1441,1209800000,1404.09,1454.09,1350.14,1454.09,1395.42,1406.3574
5,15,,24-01-2000,1441.36,1454.09,1395.42,1401.53,1402,1115800000,1407.94,1435.91,1350.14,1414.26,1388.49,1408.3265
6,16,,25-01-2000,1401.53,1414.26,1388.49,1410.03,1410,1073700000,1409.28,1441.83,1350.14,1412.73,1400.16,1408.4823
7,17,,26-01-2000,1410.03,1412.73,1400.16,1404.09,1404,1117300000,1411.68,1444.55,1350.14,1418.86,1370.99,1407.0631
8,18,,27-01-2000,1404.09,1418.86,1370.99,1398.56,1399,1129500000,1412.91,1444.55,1350.14,1398.56,1356.20,1404.1376
9,19,,28-01-2000,1398.56,1398.56,1356.20,1360.16,1360,1095800000,1414.43,1444.55,1350.14,1394.48,1350.14,1399.604
10,20,,31-01-2000,1360.16,1394.48,1350.14,1394.46,1394,993800000,1414.43,1444.55,1378.89,1412.49,1384.79,1393.6438
11,21,,01-02-2000,1394.46,1412.49,1384.79,1409.28,1409,981000000,1414.43,1444.55,1376.25,1420.61,1403.49,1387.0082
12,22,,02-02-2000,1409.28,1420.61,1403.49,1409.12,1409,1038600000,1413.80,1444.55,1376.25,1425.78,1398.52,1380.5201
13,23,,03-02-2000,1409.12,1425.78,1398.52,1424.97,1425,1146500000,1411.67,1444.55,1376.25,1435.91,1420.63,1374.8848
14,24,,04-02-2000,1424.97,1435.91,1420.63,1424.37,1424,1045100000,1402.05,1444.55,1345.32,1427.15,1413.33,1370.7046
15,25,,07-02-2000,1424.37,1427.15,1413.33,1424.24,1424,918100000,1394.46,1444.55,1331.88,1441.83,1424.24,1368.6113
16,26,,08-02-2000,1424.24,1441.83,1424.24,1441.72,1442,1047700000,1388.42,1444.55,1331.88,1444.55,1411.65,1368.539
17,27,,09-02-2000,1441.72,1444.55,1411.65,1411.71,1412,1050500000,1387.40,1422.10,1329.88,1422.10,1406.43,1370.0525
18,28,,10-02-2000,1411.70,1422.10,1406.43,1416.83,1417,1058800000,1379.48,1416.83,1329.15,1416.83,1378.89,1372.6727
19,29,,11-02-2000,1416.83,1416.83,1378.89,1387.12,1387,1025700000,1363.47,1407.72,1325.07,1394.93,1380.53,1375.761
20,30,,14-02-2000,1387.12,1394.93,1380.53,1389.94,1390,927300000,1360.69,1407.72,1325.07,1407.72,1376.25,1378.2134
21,31,,15-02-2000,1389.94,1407.72,1376.25,1402.05,1402,1092100000,1360.69,1404.55,1325.07,1404.55,1385.58,1379.2003
22,32,,16-02-2000,1402.05,1404.55,1385.58,1387.67,1388,1018800000,1360.69,1399.88,1325.07,1399.88,1380.07,1378.4507
23,33,,17-02-2000,1387.67,1399.88,1380.07,1388.26,1388,1034800000,1360.69,1410.88,1325.07,1388.59,1345.32,1375.9441
24,34,,18-02-2000,1388.26,1388.59,1345.32,1346.09,1346,1042300000,1361.48,1410.88,1325.07,1358.11,1331.88,1371.873
25,35,,22-02-2000,1346.09,1358.11,1331.88,1352.17,1352,980000000,1366.42,1410.88,1325.07,1370.11,1342.44,1366.5233
26,36,,23-02-2000,1352.17,1370.11,1342.44,1360.69,1361,993700000,1366.42,1410.88,1325.07,1364.80,1329.88,1360.1447
27,37,,24-02-2000,1360.69,1364.80,1329.88,1353.43,1353,1215000000,1369.99,1410.88,1325.07,1362.14,1329.15,1353.324
28,38,,25-02-2000,1353.43,1362.14,1329.15,1333.36,1333,1065200000,1379.19,1413.46,1325.07,1360.82,1325.07,1346.6042
29,39,,28-02-2000,1333.36,1360.82,1325.07,1348.05,1348,1026500000,1381.76,1413.46,1346.62,1369.63,1348.05,1340.5193
30,40,,29-02-2000,1348.05,1369.63,1348.05,1366.42,1366,1204300000,1382.74,1413.46,1346.62,1383.46,1366.42,1335.3708
31,41,,01-03-2000,1366.42,1383.46,1366.42,1379.19,1379,1274100000,1383.62,1413.46,1346.62,1386.56,1370.35,1331.2954
32,42,,02-03-2000,1379.19,1386.56,1370.35,1381.76,1382,1198600000,1391.28,1458.47,1346.62,1410.88,1381.76,1328.7218
33,43,,03-03-2000,1381.76,1410.88,1381.76,1409.17,1409,1150300000,1392.10,1477.33,1346.62,1409.74,1384.75,1328.032
34,44,,06-03-2000,1409.17,1409.74,1384.75,1391.28,1391,1029000000,1392.15,1477.33,1346.62,1399.21,1349.99,1329.3315
35,45,,07-03-2000,1391.28,1399.21,1349.99,1355.62,1356,1314100000,1396.57,1493.92,1346.62,1373.79,1346.62,1332.2302
36,46,,08-03-2000,1355.62,1373.79,1346.62,1366.70,1367,1203000000,1401.75,1505.08,1356.99,1401.82,1357.88,1336.0486
37,47,,09-03-2000,1366.70,1401.82,1357.88,1401.69,1402,1123000000,1450.90,1532.50,1356.99,1413.46,1392.07,1340.2661
38,48,,10-03-2000,1401.69,1413.46,1392.07,1395.07,1395,1138800000,1458.47,1552.87,1356.99,1398.39,1364.84,1344.5056
39,49,,13-03-2000,1395.07,1398.39,1364.84,1383.62,1384,1016100000,1467.39,1552.87,1356.99,1395.15,1359.15,1348.2639
40,50,,14-03-2000,1383.62,1395.15,1359.15,1359.15,1359,1094000000,1493.13,1552.87,1356.99,1397.99,1356.99,1351.113
41,51,,15-03-2000,1359.15,1397.99,1356.99,1392.14,1392,1302800000,1499.04,1552.87,1392.15,1458.47,1392.15,1353.277
42,52,,16-03-2000,1392.15,1458.47,1392.15,1458.47,1458,1482300000,1502.86,1552.87,1446.06,1477.33,1453.32,1355.5056
43,53,,17-03-2000,1458.47,1477.33,1453.32,1464.47,1464,1295100000,1506.08,1552.87,1446.06,1470.30,1448.49,1358.578
44,54,,20-03-2000,1464.47,1470.30,1448.49,1456.63,1457,920800000,1507.14,1552.87,1446.06,1493.92,1446.06,1363.3094
45,55,,21-03-2000,1456.63,1493.92,1446.06,1493.87,1494,1065900000,1507.46,1552.87,1416.41,1505.08,1487.33,1370.1812
46,56,,22-03-2000,1493.87,1505.08,1487.33,1500.64,1501,1075000000,1507.46,1552.87,1416.41,1532.50,1492.39,1379.1902
47,57,,23-03-2000,1500.64,1532.50,1492.39,1527.35,1527,1078300000,1506.82,1552.87,1416.41,1552.87,1516.83,1389.8749
48,58,,24-03-2000,1527.35,1552.87,1516.83,1527.46,1527,1052200000,1505.97,1534.63,1416.41,1534.63,1518.46,1401.8549
49,59,,27-03-2000,1527.46,1534.63,1518.46,1523.86,1524,901000000,1503.90,1527.36,1416.41,1527.36,1507.09,1414.6714
50,60,,28-03-2000,1523.86,1527.36,1507.09,1507.73,1508,959100000,1501.34,1527.19,1416.41,1521.45,1497.45,1427.2517
51,61,,29-03-2000,1507.73,1521.45,1497.45,1508.52,1509,1061900000,1500.59,1527.19,1416.41,1517.38,1474.63,1438.6166
52,62,,30-03-2000,1508.52,1517.38,1474.63,1487.92,1488,1193400000,1499.13,1527.19,1416.41,1519.81,1484.38,1447.6477
53,63,,31-03-2000,1487.92,1519.81,1484.38,1498.58,1499,1227400000,1497.77,1527.19,1339.40,1507.19,1486.96,1454.1681
54,64,,03-04-2000,1498.58,1507.19,1486.96,1505.97,1506,1021700000,1489.52,1527.19,1339.40,1526.45,1416.41,1458.8583
55,65,,04-04-2000,1505.98,1526.45,1416.41,1494.73,1495,1515460000,1487.08,1527.19,1339.40,1506.55,1478.05,1461.7214
56,66,,05-04-2000,1494.73,1506.55,1478.05,1487.37,1487,1110300000,1467.17,1527.19,1339.40,1511.76,1487.37,1462.8107
57,67,,06-04-2000,1487.37,1511.76,1487.37,1501.34,1501,1008000000,1441.61,1527.19,1339.40,1518.68,1501.34,1462.5519
58,68,,07-04-2000,1501.34,1518.68,1501.34,1516.35,1516,891600000,1439.92,1527.19,1339.40,1527.19,1503.35,1461.3926
59,69,,10-04-2000,1516.35,1527.19,1503.35,1504.46,1504,853700000,1435.37,1512.80,1339.40,1512.80,1486.78,1459.7698
60,70,,11-04-2000,1504.46,1512.80,1486.78,1500.59,1501,971400000,1435.37,1509.08,1339.40,1509.08,1466.15,1457.8074
61,71,,12-04-2000,1500.59,1509.08,1466.15,1467.17,1467,1175900000,1435.03,1482.94,1339.40,1477.52,1439.34,1455.2885
62,72,,13-04-2000,1467.17,1477.52,1439.34,1440.51,1441,1032000000,1435.03,1482.94,1339.40,1440.51,1339.40,1451.9213
63,73,,14-04-2000,1440.51,1440.51,1339.40,1356.56,1357,1279700000,1441.61,1482.94,1346.50,1401.53,1346.50,1447.1536
64,74,,17-04-2000,1356.56,1401.53,1346.50,1401.44,1401,1204700000,1447.92,1482.94,1397.81,1441.61,1397.81,1441.0353
65,75,,18-04-2000,1401.44,1441.61,1397.81,1441.61,1442,1109400000,1447.92,1482.94,1398.36,1447.69,1424.26,1433.6442
66,76,,19-04-2000,1441.61,1447.69,1424.26,1427.47,1427,1001400000,1447.22,1482.94,1398.36,1435.49,1422.08,1425.5675
67,77,,20-04-2000,1427.47,1435.49,1422.08,1434.54,1435,896200000,1447.22,1482.94,1398.36,1434.54,1407.13,1417.2506
68,78,,24-04-2000,1434.54,1434.54,1407.13,1429.86,1430,868700000,1447.22,1482.94,1398.36,1477.67,1429.86,1409.2146
69,79,,25-04-2000,1429.86,1477.67,1429.86,1477.44,1477,1071100000,1445.76,1482.94,1398.36,1482.94,1456.98,1402.1986
70,80,,26-04-2000,1477.44,1482.94,1456.98,1460.99,1461,999600000,1432.63,1481.51,1375.14,1469.21,1434.81,1397.0297
71,81,,27-04-2000,1460.99,1469.21,1434.81,1464.92,1465,1111000000,1424.17,1481.51,1375.14,1473.62,1448.15,1394.1647
72,82,,28-04-2000,1464.92,1473.62,1448.15,1452.43,1452,984600000,1418.97,1481.51,1375.14,1481.51,1452.43,1394.0604
73,83,,01-05-2000,1452.43,1481.51,1452.43,1468.25,1468,966300000,1417.08,1468.25,1375.14,1468.25,1445.22,1396.4423
74,84,,02-05-2000,1468.25,1468.25,1445.22,1446.29,1446,1011500000,1417.08,1470.40,1375.14,1446.29,1398.36,1400.0272
75,85,,03-05-2000,1446.29,1446.29,1398.36,1415.10,1415,991600000,1420.89,1470.40,1375.14,1420.99,1404.94,1403.2588
76,86,,04-05-2000,1415.10,1420.99,1404.94,1409.57,1410,925800000,1425.40,1470.40,1375.14,1436.03,1405.08,1405.3258
77,87,,05-05-2000,1409.57,1436.03,1405.08,1432.63,1433,805500000,1425.40,1470.40,1375.14,1432.63,1417.05,1405.9626
78,88,,08-05-2000,1432.63,1432.63,1417.05,1424.17,1424,787600000,1420.87,1470.40,1368.73,1430.28,1401.85,1404.7845
79,89,,09-05-2000,1424.17,1430.28,1401.85,1412.14,1412,896600000,1416.61,1470.40,1368.73,1412.14,1375.14,1401.5636
80,90,,10-05-2000,1412.14,1412.14,1375.14,1383.05,1383,1006400000,1416.61,1470.40,1361.09,1410.26,1383.05,1396.7979
81,91,,11-05-2000,1383.05,1410.26,1383.05,1407.81,1408,953600000,1416.61,1470.40,1361.09,1430.13,1407.81,1391.2926
82,92,,12-05-2000,1407.81,1430.13,1407.81,1420.96,1421,858200000,1408.75,1470.40,1361.09,1452.39,1416.54,1385.8802
83,93,,15-05-2000,1420.96,1452.39,1416.54,1452.36,1452,854600000,1402.76,1470.40,1361.09,1470.40,1450.76,1381.2739
84,94,,16-05-2000,1452.36,1470.40,1450.76,1466.04,1466,955500000,1402.76,1466.04,1361.09,1466.04,1441.67,1378.1333
85,95,,17-05-2000,1466.04,1466.04,1441.67,1447.80,1448,820500000,1402.76,1458.04,1361.09,1458.04,1436.59,1376.8832
86,96,,18-05-2000,1447.80,1458.04,1436.59,1437.21,1437,807900000,1402.76,1483.23,1361.09,1437.21,1401.74,1377.1926
87,97,,19-05-2000,1437.21,1437.21,1401.74,1406.95,1407,853700000,1405.36,1483.23,1361.09,1410.55,1368.73,1378.3213
88,98,,22-05-2000,1406.95,1410.55,1368.73,1400.72,1401,869000000,1420.60,1483.23,1361.09,1403.77,1373.43,1379.4547
89,99,,23-05-2000,1400.72,1403.77,1373.43,1373.86,1374,869900000,1422.85,1483.23,1361.09,1401.75,1361.09,1380.0739
90,100,,24-05-2000,1373.86,1401.75,1361.09,1399.05,1399,1152300000,1448.81,1483.23,1369.75,1411.65,1373.93,1379.852
91,101,,25-05-2000,1399.05,1411.65,1373.93,1381.52,1382,984500000,1455.78,1483.23,1369.75,1391.42,1369.75,1378.3948
92,102,,26-05-2000,1381.52,1391.42,1369.75,1378.02,1378,722600000,1456.95,1483.23,1378.02,1422.45,1378.02,1375.4999
93,103,,30-05-2000,1378.02,1422.45,1378.02,1422.45,1422,844200000,1457.84,1483.23,1415.50,1434.49,1415.50,1371.601
94,104,,31-05-2000,1422.44,1434.49,1415.50,1420.60,1421,960500000,1462.91,1483.62,1420.60,1448.81,1420.60,1367.5298
95,105,,01-06-2000,1420.60,1448.81,1420.60,1448.81,1449,960100000,1465.51,1483.62,1442.38,1483.23,1448.81,1364.5966
96,106,,02-06-2000,1448.81,1483.23,1448.81,1477.26,1477,1162400000,1466.96,1483.62,1442.38,1477.28,1464.68,1363.8042
97,107,,05-06-2000,1477.26,1477.28,1464.68,1467.63,1468,838600000,1465.51,1488.93,1442.38,1471.36,1454.74,1365.715
98,108,,06-06-2000,1467.63,1471.36,1454.74,1457.84,1458,950100000,1469.44,1488.93,1442.38,1474.64,1455.06,1370.2616
99,109,,07-06-2000,1457.84,1474.64,1455.06,1471.36,1471,854600000,1470.30,1488.93,1442.38,1475.65,1456.49,1376.7986
100,110,,08-06-2000,1471.36,1475.65,1456.49,1461.67,1462,854300000,1470.30,1488.93,1442.38,1472.67,1454.96,1384.4022
101,111,,09-06-2000,1461.67,1472.67,1454.96,1456.95,1457,786000000,1469.81,1488.93,1438.31,1462.93,1445.99,1392.2861
102,112,,12-06-2000,1456.95,1462.93,1445.99,1446.00,1446,774100000,1469.81,1488.93,1438.31,1470.42,1442.38,1399.7281
