id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,LPN10P_lowest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period
1,,03-01-2000,"1,469.25","1,478.00","1,438.36","1,455.22","1,455.22","93,18,00,000","1,441.47","1,473.00","1,377.68","1,455.22","1,397.43"
2,,04-01-2000,"1,455.22","1,455.22","1,397.43","1,399.42","1,399","1,00,90,00,000","1,441.78","1,473.00","1,377.68","1,413.27","1,377.68"
3,,05-01-2000,"1,399.42","1,413.27","1,377.68","1,402.11","1,402","1,08,55,00,000","1,448.00","1,473.00","1,392.10","1,411.90","1,392.10"
4,,06-01-2000,"1,402.11","1,411.90","1,392.10","1,403.45","1,403","1,09,23,00,000","1,449.18","1,473.00","1,400.73","1,441.47","1,400.73"
5,,07-01-2000,"1,403.45","1,441.47","1,400.73","1,441.47","1,441","1,22,52,00,000","1,449.68","1,473.00","1,395.42","1,464.36","1,441.47"
6,,10-01-2000,"1,441.47","1,464.36","1,441.47","1,457.60","1,458","1,06,48,00,000","1,446.44","1,473.00","1,388.49","1,458.66","1,434.42"
7,,11-01-2000,"1,457.60","1,458.66","1,434.42","1,438.56","1,439","1,01,40,00,000","1,443.76","1,473.00","1,388.49","1,442.60","1,427.08"
8,,12-01-2000,"1,438.56","1,442.60","1,427.08","1,432.25","1,432","97,46,00,000","1,443.51","1,473.00","1,370.99","1,454.20","1,432.25"
9,,13-01-2000,"1,432.25","1,454.20","1,432.25","1,449.68","1,450","1,03,04,00,000","1,440.48","1,473.00","1,356.20","1,473.00","1,449.68"
10,,14-01-2000,"1,449.68","1,473.00","1,449.68","1,465.15","1,465","1,08,59,00,000","1,413.49","1,465.71","1,350.14","1,465.15","1,451.30"
11,,18-01-2000,"1,465.15","1,465.15","1,451.30","1,455.14","1,455","1,05,67,00,000","1,408.02","1,465.71","1,350.14","1,461.39","1,448.68"
12,,19-01-2000,"1,455.14","1,461.39","1,448.68","1,455.90","1,456","1,08,78,00,000","1,405.42","1,465.71","1,350.14","1,465.71","1,438.54"
13,,20-01-2000,"1,455.90","1,465.71","1,438.54","1,445.57","1,446","1,10,07,00,000","1,404.09","1,454.09","1,350.14","1,453.18","1,439.60"
14,,21-01-2000,"1,445.57","1,453.18","1,439.60","1,441.36","1,441","1,20,98,00,000","1,404.09","1,454.09","1,350.14","1,454.09","1,395.42"
