,id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,LPN10P_lowest_price_next_10_periods,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period
0,10,,14-01-2000,1449.68,1473,1449.68,1465.15,1465.15,1085900000,"1,377.68","1,441.47","1,473.00","1,455.22","1,397.43"
1,11,,18-01-2000,1465.15,1465.15,1451.3,1455.14,1455.14,1056700000,"1,377.68","1,441.78","1,473.00","1,413.27","1,377.68"
2,12,,19-01-2000,1455.14,1461.39,1448.68,1455.9,1455.9,1087800000,"1,392.10","1,448.00","1,473.00","1,411.90","1,392.10"
3,13,,20-01-2000,1455.9,1465.71,1438.54,1445.57,1445.57,1100700000,"1,400.73","1,449.18","1,473.00","1,441.47","1,400.73"
4,14,,21-01-2000,1445.57,1453.18,1439.6,1441.36,1441.36,1209800000,"1,395.42","1,449.68","1,473.00","1,464.36","1,441.47"
5,15,,24-01-2000,1441.36,1454.09,1395.42,1401.53,1401.53,1115800000,"1,388.49","1,446.44","1,473.00","1,458.66","1,434.42"
6,16,,25-01-2000,1401.53,1414.26,1388.49,1410.03,1410.03,1073700000,"1,388.49","1,443.76","1,473.00","1,442.60","1,427.08"
7,17,,26-01-2000,1410.03,1412.73,1400.16,1404.09,1404.09,1117300000,"1,370.99","1,443.51","1,473.00","1,454.20","1,432.25"
8,18,,27-01-2000,1404.09,1418.86,1370.99,1398.56,1398.56,1129500000,"1,356.20","1,440.48","1,473.00","1,473.00","1,449.68"
9,19,,28-01-2000,1398.56,1398.56,1356.2,1360.16,1360.16,1095800000,"1,350.14","1,413.49","1,465.71","1,465.15","1,451.30"
10,20,,31-01-2000,1360.16,1394.48,1350.14,1394.46,1394.46,993800000,"1,350.14","1,408.02","1,465.71","1,461.39","1,448.68"
11,21,,01-02-2000,1394.46,1412.49,1384.79,1409.28,1409.28,981000000,"1,350.14","1,405.42","1,465.71","1,465.71","1,438.54"
12,22,,02-02-2000,1409.28,1420.61,1403.49,1409.12,1409.12,1038600000,"1,350.14","1,404.09","1,454.09","1,453.18","1,439.60"
13,23,,03-02-2000,1409.12,1425.78,1398.52,1424.97,1424.97,1146500000,"1,350.14","1,404.09","1,454.09","1,454.09","1,395.42"
14,24,,04-02-2000,1424.97,1435.91,1420.63,1424.37,1424.37,1045100000,"1,350.14","1,407.94","1,435.91","1,414.26","1,388.49"
15,25,,07-02-2000,1424.37,1427.15,1413.33,1424.24,1424.24,918100000,"1,350.14","1,409.28","1,441.83","1,412.73","1,400.16"
16,26,,08-02-2000,1424.24,1441.83,1424.24,1441.72,1441.72,1047700000,"1,350.14","1,411.68","1,444.55","1,418.86","1,370.99"
17,27,,09-02-2000,1441.72,1444.55,1411.65,1411.71,1411.71,1050500000,"1,350.14","1,412.91","1,444.55","1,398.56","1,356.20"
18,28,,10-02-2000,1411.7,1422.1,1406.43,1416.83,1416.83,1058800000,"1,350.14","1,414.43","1,444.55","1,394.48","1,350.14"
19,29,,11-02-2000,1416.83,1416.83,1378.89,1387.12,1387.12,1025700000,"1,378.89","1,414.43","1,444.55","1,412.49","1,384.79"
